Sampling point	Site	Site_point	Richness	Shannon	x	y	Maturity Index [MEAN]	Plant Parasitic Index [MEAN]	Enrichment Index [MEAN]	Structure Index [MEAN]	Total number, ind [MEAN]	Herbivores, % of total	Fungivores, % of total	Fungivores, % of free-living	Bacterivores, % of total	Bacterivores, % of free-living	Predators, % of total	Predators, % of free-living	Omnivores, % of total	Omnivores, % of free-living	Sedentary parasites, % of herbivores	Migratory endoparasites, % of herbivores	Semi-endoparasites, % of herbivores	Ectoparasites, % of herbivores	Epidermal/root hair feeders, % of herbivores	Algal/lichen/moss feeders, % of herbivores	CP 1, % of free-living	CP 2, % of free-living	CP 3, % of free-living	CP 4, % of free-living	CP 5, % of free-living	PP 2, % of herbivores	PP 3, % of herbivores	PP 4, % of herbivores	PP 5, % of herbivores	Rich_bact	Rich_fung	Rich_herb	Rich_omn	Rich_pred	Div_bact	Div_fung	Div_herb	Div_omn	Div_pred
AHU0-30	AHU	AHU030	26	2.177908866	78.529	37.836	2.34	2.82	45.8	48.36	7.6	11	52	58.4	26	29.2	6	6.7	5	5.6	0	0	45.5	36.4	9.1	9.1	2.2	79.8	5.6	6.7	5.6	27.3	63.6	9.1	0	10	3	7	3	3	1.748861759	0.681507264	1.767761471	0.950270538	1.011404264
AHU0-40	AHU	AHU040	25	2.250845798	69.992	31.237	2.72	2.95	46.07	71.51	5.81	20	43	53.8	15	18.7	5	6.2	17	21.2	0	10	55	35	0	0	0	60	15	17.5	7.5	5	95	0	0	10	3	5	5	2	2.153532457	0.220985715	1.261001565	1.401276649	0.500402424
AHU0-50	AHU	AHU050	29	2.592347281	61.1	27.758	2.72	2.94	51.25	76.44	9.84	18	43	52.4	24	29.3	7	8.5	8	9.8	0	0	38.9	50	0	11.1	1.2	47.6	30.5	19.5	1.2	27.8	61.1	0	11.1	10	4	6	4	5	1.963917013	1.147391289	1.647918433	1.213007567	1.549826047
AHU0-60	AHU	AHU060	25	2.56959899	52.559	22.824	2.71	2.88	38.46	73.55	11.84	41	24	40.7	28	47.5	1	1.7	6	10.2	0	0	68.3	29.3	2.4	0	0	54.2	27.1	11.9	6.8	17.1	80.5	0	2.4	9	5	8	2	1	1.87824098	0.81433969	1.252927263	0.636514169	0
AHU0-70	AHU	AHU070	20	1.963601276	43.714	17.565	2.55	2.87	49.11	63.52	8.01	15	56	65.9	8	9.4	10	11.8	11	12.9	0	0	0	93.3	6.7	0	0	67.1	17.6	8.2	7.1	13.3	86.7	0	0	5	4	5	4	2	1.38629436	1.029239855	1.080573848	1.162225544	0.500402423
AHU0-80	AHU	AHU080	28	2.838081488	36.882	11.105	2.58	3.29	50.6	71.53	9.26	24	27	35.5	38	50	1	1.3	10	13.2	0	0	20.8	75	0	4.2	5.3	53.9	27.6	3.9	9.2	12.5	66.7	0	20.8	12	3	8	4	1	2.120252216	0.31323146	1.803033494	1.088899975	0
AHU10--30	AHU	AHU1030	27	2.676422594	73.269	46.412	2.8	2.96	47.14	78.14	16.59	24	25	32.9	30	39.5	5	6.6	16	21.1	0	4.2	33.3	62.5	0	0	2.6	48.7	23.7	15.8	9.2	37.5	45.8	0	16.7	11	3	6	4	3	2.228510476	2.052657854	1.538936916	1.162699833	0.950270539
AHU10--40	AHU	AHU1040	23	2.545701173	64.856	41.122	2.92	2.93	32.14	81.69	9.16	14	14	16.3	50	58.1	2	2.3	20	23.3	0	0	57.1	42.9	0	0	1.2	44.2	30.2	10.5	14	7.1	92.9	0	0	11	2	5	3	2	2.075513855	0.125917679	1.215388101	1.010412754	0.693147181
AHU10--50	AHU	AHU1050	23	2.176492189	56.174	36.446	2.36	2.9	56.79	56.52	17.08	50	31	62	10	20	3	6	6	12	0	0	78	16	4	2	8	70	6	10	6	10	90	0	0	6	3	8	4	2	1.747868097	0.347896549	1.206341981	1.329661349	0.636514168
AHU10--60	AHU	AHU1060	24	2.360884926	47.441	31.344	2.27	2.91	45.54	41.95	10.29	33	42	62.7	18	26.9	1	1.5	6	9	0	6.1	39.4	48.5	3	3	1.5	82.1	7.5	6	3	9.1	90.9	0	0	9	2	9	3	1	2.029154563	0.64842867	1.763385703	1.011404265	0
AHU10--70	AHU	AHU1070	29	2.608579637	38.748	26.17	2.8	2.24	42.42	76.93	11.59	25	28	37.3	29	38.7	5	6.7	13	17.3	0	0	8	72	16	4	1.3	50.7	20	22.7	5.3	80	16	4	0	10	3	8	5	3	1.984005831	0.479499558	1.463744847	1.178654995	0.950270538
AHU10--80	AHU	AHU1080	25	2.501768253	30.179	20.857	2.43	2.9	38.55	59.76	19.8	21	29	36.7	44	55.7	3	3.8	3	3.8	0	0	0	100	0	0	1.3	64.6	26.6	5.1	2.5	9.5	90.5	0	0	14	4	3	2	2	2.245751943	0.40015476	0.501046914	0.636514168	0.636514168
AHU20-30	AHU	AHU2030	26	2.6714044	68.99	53.496	2.44	2.79	44.87	54.13	21.71	43	36	63.2	11	19.3	3	5.3	7	12.3	14	2.3	9.3	65.1	4.7	4.7	0	75.4	5.3	19.3	0	30.2	65.1	0	4.7	7	5	12	1	1	1.84622022	1.466821217	2.161720573	0	0
AHU20-40	AHU	AHU2040	28	2.416329338	59.209	49.777	2.46	2.83	46.38	59.56	23.48	46	29	53.7	16	29.6	5	9.3	4	7.4	0	4.3	78.3	13	2.2	2.2	1.9	68.5	14.8	11.1	3.7	17.4	82.6	0	0	9	5	8	3	3	2.100678921	0.581920447	1.104769328	1.039720771	0.950270539
